,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
1,Argentina,Cassava,1990,100000,591,26156,17.46
2,Argentina,Cassava,1990,100000,591,26156,17.67
3,Argentina,Maize,1990,34608,591,26156,17.46
4,Argentina,Maize,1990,34608,591,26156,17.67
5,Argentina,Potatoes,1990,202747,591,26156,17.46
6,Argentina,Potatoes,1990,202747,591,26156,17.67
7,Argentina,"Rice, paddy",1990,36709,591,26156,17.46
8,Argentina,"Rice, paddy",1990,36709,591,26156,17.67
9,Argentina,Sorghum,1990,28116,591,26156,17.46
10,Argentina,Sorghum,1990,28116,591,26156,17.67
11,Argentina,Soybeans,1990,21566,591,26156,17.46
12,Argentina,Soybeans,1990,21566,591,26156,17.67
13,Argentina,Sweet potatoes,1990,131864,591,26156,17.46
14,Argentina,Sweet potatoes,1990,131864,591,26156,17.67
15,Argentina,Wheat,1990,18947,591,26156,17.46
16,Argentina,Wheat,1990,18947,591,26156,17.67
17,Argentina,Cassava,1991,100000,591,26156,17.64
18,Argentina,Cassava,1991,100000,591,26156,17.86
19,Argentina,Maize,1991,40444,591,26156,17.64
20,Argentina,Maize,1991,40444,591,26156,17.86
21,Argentina,Potatoes,1991,205692,591,26156,17.64
22,Argentina,Potatoes,1991,205692,591,26156,17.86
23,Argentina,"Rice, paddy",1991,40294,591,26156,17.64
24,Argentina,"Rice, paddy",1991,40294,591,26156,17.86
25,Argentina,Sorghum,1991,33320,591,26156,17.64
26,Argentina,Sorghum,1991,33320,591,26156,17.86
27,Argentina,Soybeans,1991,22750,591,26156,17.64
28,Argentina,Soybeans,1991,22750,591,26156,17.86
29,Argentina,Sweet potatoes,1991,131364,591,26156,17.64
30,Argentina,Sweet potatoes,1991,131364,591,26156,17.86
31,Argentina,Wheat,1991,18972,591,26156,17.64
32,Argentina,Wheat,1991,18972,591,26156,17.86
33,Argentina,Cassava,1992,100000,591,26156,17.09
34,Argentina,Cassava,1992,100000,591,26156,17.51
35,Argentina,Maize,1992,45237,591,26156,17.09
36,Argentina,Maize,1992,45237,591,26156,17.51
37,Argentina,Potatoes,1992,199039,591,26156,17.09
38,Argentina,Potatoes,1992,199039,591,26156,17.51
39,Argentina,"Rice, paddy",1992,52075,591,26156,17.09
40,Argentina,"Rice, paddy",1992,52075,591,26156,17.51
41,Argentina,Sorghum,1992,36217,591,26156,17.09
42,Argentina,Sorghum,1992,36217,591,26156,17.51
43,Argentina,Soybeans,1992,22915,591,26156,17.09
44,Argentina,Soybeans,1992,22915,591,26156,17.51
45,Argentina,Sweet potatoes,1992,127273,591,26156,17.09
46,Argentina,Sweet potatoes,1992,127273,591,26156,17.51
47,Argentina,Wheat,1992,21809,591,26156,17.09
48,Argentina,Wheat,1992,21809,591,26156,17.51
49,Argentina,Cassava,1993,100000,591,26156,17.32
50,Argentina,Cassava,1993,100000,591,26156,17.53
51,Argentina,Maize,1993,43552,591,26156,17.32
52,Argentina,Maize,1993,43552,591,26156,17.53
53,Argentina,Potatoes,1993,210314,591,26156,17.32
54,Argentina,Potatoes,1993,210314,591,26156,17.53
55,Argentina,"Rice, paddy",1993,43559,591,26156,17.32
56,Argentina,"Rice, paddy",1993,43559,591,26156,17.53
57,Argentina,Sorghum,1993,39529,591,26156,17.32
58,Argentina,Sorghum,1993,39529,591,26156,17.53
59,Argentina,Soybeans,1993,21589,591,26156,17.32
60,Argentina,Soybeans,1993,21589,591,26156,17.53
61,Argentina,Sweet potatoes,1993,122955,591,26156,17.32
62,Argentina,Sweet potatoes,1993,122955,591,26156,17.53
63,Argentina,Wheat,1993,23272,591,26156,17.32
64,Argentina,Wheat,1993,23272,591,26156,17.53
65,Argentina,Cassava,1994,100000,591,30195,18.17
66,Argentina,Cassava,1994,100000,591,30195,18.31
67,Argentina,Maize,1994,42371,591,30195,18.17
68,Argentina,Maize,1994,42371,591,30195,18.31
69,Argentina,Potatoes,1994,230166,591,30195,18.17
70,Argentina,Potatoes,1994,230166,591,30195,18.31
71,Argentina,"Rice, paddy",1994,42989,591,30195,18.17
72,Argentina,"Rice, paddy",1994,42989,591,30195,18.31
73,Argentina,Sorghum,1994,35065,591,30195,18.17
74,Argentina,Sorghum,1994,35065,591,30195,18.31
75,Argentina,Soybeans,1994,20386,591,30195,18.17
76,Argentina,Soybeans,1994,20386,591,30195,18.31
77,Argentina,Sweet potatoes,1994,176667,591,30195,18.17
78,Argentina,Sweet potatoes,1994,176667,591,30195,18.31
79,Argentina,Wheat,1994,20237,591,30195,18.17
80,Argentina,Wheat,1994,20237,591,30195,18.31
81,Argentina,Cassava,1995,100000,591,37842,17.74
82,Argentina,Cassava,1995,100000,591,37842,17.62
83,Argentina,Maize,1995,45223,591,37842,17.74
84,Argentina,Maize,1995,45223,591,37842,17.62
85,Argentina,Potatoes,1995,274272,591,37842,17.74
86,Argentina,Potatoes,1995,274272,591,37842,17.62
87,Argentina,"Rice, paddy",1995,50306,591,37842,17.74
